project,symbol,name,market,price,currency,source,quote_time,fetch_time,market_status,is_stale,stale_reason
energy,00883.HK,中海油H,HK,21.35,HKD,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
energy,601899.SH,紫金矿业A,CN,18.42,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
energy,601985.SH,中国核电,CN,10.91,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
energy,003816.SZ,中国广核,CN,4.27,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,159632.SZ,纳指相关ETF,CN,1.432,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,513300.SH,纳指ETF,CN,1.671,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,159819.SZ,人工智能ETF,CN,0.921,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,515880.SH,通信ETF,CN,1.084,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,510300.SH,沪深300ETF,CN,3.921,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,GOLD_CNY,黄金持仓参考价,MANUAL,1040.0,CNY,manual,2026-05-18 14:03:00+08:00,2026-05-18 08:39:35.911583+00:00,manual,False,manual 价格，已显示录入时间
controller,USD_CNY,美元兑人民币,FX,7.215,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,open,True,交易中价格超过 max_age_seconds，不可用于具体操作建议
controller,HKD_CNY,港币兑人民币,FX,0.925,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,open,True,交易中价格超过 max_age_seconds，不可用于具体操作建议
controller,IXIC,纳斯达克综合指数,US,16835.24,USD,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
